epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,12866.4,0.53106,0.38445,1.0377,0.99857,0.96825,0.97536,0.80395,0.74492,0.46496,1.20583,0.0012278,0.0012278,0.0012278
119,13005.2,0.59398,0.40167,1.01381,0.9991,0.96825,0.97307,0.8097,0.73833,0.47718,1.19365,0.0012212,0.0012212,0.0012212
120,13136.7,0.54179,0.39324,1.00434,0.98254,0.96825,0.97582,0.81119,0.79741,0.49958,1.23136,0.0012146,0.0012146,0.0012146
121,13268.7,0.55144,0.37505,1.02038,0.98384,0.9666,0.97651,0.81824,0.73594,0.50693,1.19586,0.001208,0.001208,0.001208
122,13398.7,0.57411,0.40312,1.03067,0.9666,0.95238,0.97692,0.82068,0.74513,0.54672,1.18635,0.0012014,0.0012014,0.0012014
123,13530.7,0.5564,0.40004,1.00822,0.96817,0.96825,0.98129,0.82858,0.76427,0.5219,1.17697,0.0011948,0.0011948,0.0011948
124,13669.1,0.57649,0.38097,0.99527,0.96795,0.96825,0.98317,0.81377,0.77581,0.51019,1.16979,0.0011882,0.0011882,0.0011882
125,13805.2,0.52569,0.37776,1.01156,0.98998,0.95238,0.98007,0.81539,0.71843,0.45761,1.14066,0.0011816,0.0011816,0.0011816
126,13939.3,0.55477,0.40285,1.01567,0.99289,0.95238,0.97649,0.81921,0.70171,0.46404,1.13701,0.001175,0.001175,0.001175
127,14060.7,0.5643,0.39277,1.00327,0.9838,0.96382,0.97709,0.80594,0.72569,0.51159,1.15368,0.0011684,0.0011684,0.0011684
128,14181.4,0.54179,0.3582,0.99299,0.937,0.94441,0.96896,0.80847,0.70693,0.56587,1.13187,0.0011618,0.0011618,0.0011618
129,14299.8,0.49513,0.34833,1.00186,0.98693,0.95238,0.9769,0.8272,0.69595,0.49166,1.13014,0.0011552,0.0011552,0.0011552
130,14413.7,0.54986,0.37252,0.98743,0.98384,0.9662,0.98277,0.84261,0.71234,0.45453,1.15557,0.0011486,0.0011486,0.0011486
131,14526.4,0.5549,0.37315,1.01301,0.98342,0.96825,0.98472,0.8315,0.7331,0.44118,1.17495,0.001142,0.001142,0.001142
132,14639.1,0.51927,0.35923,1.02478,0.99755,0.95238,0.9811,0.82651,0.73811,0.49168,1.16818,0.0011354,0.0011354,0.0011354
133,14751.8,0.58424,0.39683,1.00844,0.99242,0.95238,0.97988,0.8268,0.69703,0.49344,1.13987,0.0011288,0.0011288,0.0011288
134,14870.6,0.53609,0.37195,1.00101,0.97738,0.95238,0.9731,0.83083,0.67641,0.49283,1.13137,0.0011222,0.0011222,0.0011222
135,14984.8,0.54442,0.38253,1.00358,0.99614,0.95238,0.98337,0.83542,0.70621,0.49441,1.13212,0.0011156,0.0011156,0.0011156
136,15102.8,0.50272,0.35433,0.99722,1,0.96664,0.98488,0.83861,0.71218,0.46142,1.13513,0.001109,0.001109,0.001109
137,15215.2,0.54989,0.38402,0.9803,1,0.9667,0.98581,0.83963,0.7387,0.45333,1.13127,0.0011024,0.0011024,0.0011024
138,15331.1,0.51193,0.33809,0.96733,1,0.96731,0.98592,0.84967,0.71406,0.42744,1.11765,0.0010958,0.0010958,0.0010958
139,15451.3,0.51033,0.35323,0.98967,1,0.96817,0.98578,0.85064,0.70609,0.41465,1.12467,0.0010892,0.0010892,0.0010892
140,15569.2,0.55616,0.39616,1.00163,0.98385,0.96695,0.9799,0.84917,0.71142,0.42259,1.12257,0.0010826,0.0010826,0.0010826
141,15690.5,0.56677,0.39144,1.01189,1,0.96683,0.98461,0.84875,0.70323,0.4182,1.13161,0.001076,0.001076,0.001076
142,15811,0.52652,0.35797,1.0141,0.9988,0.96825,0.98389,0.84522,0.71997,0.42729,1.1427,0.0010694,0.0010694,0.0010694
143,15932.2,0.5601,0.3652,0.97874,0.99898,0.96825,0.98243,0.83991,0.73286,0.44603,1.1528,0.0010628,0.0010628,0.0010628
144,16052.6,0.51328,0.35592,0.99242,0.99924,0.96825,0.97621,0.82772,0.71919,0.45066,1.16238,0.0010562,0.0010562,0.0010562
145,16173.6,0.54637,0.37634,0.99648,0.99891,0.96825,0.97789,0.83224,0.69182,0.44265,1.14082,0.0010496,0.0010496,0.0010496
146,16303.1,0.51534,0.34948,0.98232,0.99886,0.96825,0.97959,0.82825,0.68834,0.4385,1.13808,0.001043,0.001043,0.001043
147,16425.1,0.52038,0.37705,1.01103,0.99894,0.96825,0.98052,0.81518,0.73196,0.43698,1.16167,0.0010364,0.0010364,0.0010364
148,16555.7,0.50448,0.34533,0.97576,0.99916,0.96825,0.97622,0.82937,0.7192,0.45676,1.13323,0.0010298,0.0010298,0.0010298
149,16687.8,0.50852,0.38754,0.99641,0.99941,0.96825,0.9775,0.82339,0.73762,0.47822,1.13171,0.0010232,0.0010232,0.0010232
150,16820.9,0.52165,0.3783,0.99109,0.9821,0.96825,0.97905,0.82682,0.72056,0.48192,1.10675,0.0010166,0.0010166,0.0010166
151,16955.7,0.51408,0.37354,0.98604,1,0.96721,0.97723,0.82079,0.70546,0.45631,1.09287,0.00101,0.00101,0.00101
152,17087.3,0.48906,0.33324,0.99528,1,0.96791,0.97222,0.80697,0.75244,0.42218,1.13389,0.0010034,0.0010034,0.0010034
153,17222,0.51618,0.35619,1.0097,1,0.96815,0.97075,0.81568,0.69767,0.40561,1.12077,0.0009968,0.0009968,0.0009968
154,17344.5,0.50244,0.36547,1.01229,1,0.96755,0.97102,0.82515,0.66234,0.40256,1.10032,0.0009902,0.0009902,0.0009902
155,17468.1,0.54191,0.38396,1.01978,1,0.96706,0.9716,0.83197,0.64178,0.41129,1.09349,0.0009836,0.0009836,0.0009836
156,17586.2,0.46946,0.34675,0.98944,0.99977,0.96825,0.96862,0.82398,0.66245,0.43404,1.10389,0.000977,0.000977,0.000977
